Hospital Name,City,Address,Latitude,Longitude
Aga Khan University Hospital,Karachi,"National Stadium Road, Karachi 74800",24.891975,67.072861
Liaquat National Hospital,Karachi,"Stadium Road, Karachi 74800",24.89156,67.06809
Jinnah Postgraduate Medical Centre (JPMC),Karachi,"Rafiqui Shaheed Road, Karachi Cantonment, Karachi 75510",24.851227,67.046823
Dr. Ruth K.M. Pfau Civil Hospital,Karachi,"Mission Road, New Labour Colony Nanakwara, Karachi",24.85932,67.0104
Indus Hospital (Korangi Campus),Karachi,"Plot C-76, Sector 31/5, Korangi Crossing, Karachi 75190",24.81659,67.11146
National Institute of Cardiovascular Diseases (NICVD),Karachi,"Rafiqui H.J. Shaheed Road, Karachi 75510",24.855,67.045
Abbasi Shaheed Hospital,Karachi,"Block 3, Nazimabad, Karachi",24.930,67.030
Dr. Ziauddin Hospital (Clifton),Karachi,"4/B Shahrah-e-Ghalib Road, Block 6 Clifton, Karachi 75600",24.813,67.030
South City Hospital,Karachi,"St-1 Shahrah-e-Firdousi, Block 3 Clifton, Karachi",24.820,67.035
National Medical Centre (NMC),Karachi,"A-5/A, National Highway, Phase 1 DHA, Karachi",24.840,67.070
National Institute of Child Health (NICH),Karachi,"Rafiqui S.J. Shaheed Road, Karachi 75510",24.852,67.048
Sindh Institute of Urology and Transplantation (SIUT),Karachi,"Chand Bibi Road, Karachi",24.860,67.012
PNS Shifa Hospital,Karachi,"DHA Phase 2, Karachi",24.820,67.080
Combined Military Hospital (CMH) Karachi,Karachi,"Malir Cantonment, Karachi",24.900,67.200
Dow University Hospital (Ojha Campus),Karachi,"Suparco Road, Scheme 33, Karachi",24.950,67.150
Memon Medical Institute Hospital,Karachi,"Hyder Buksh Gabol Road, Safoora Chowrangi, Karachi",24.950,67.120
Tabba Heart Institute,Karachi,"ST-01, Block-2, F.B. Area, Karachi",24.930,67.070
Patel Hospital,Karachi,"ST-18, Block-4, Gulshan-e-Iqbal, Karachi",24.920,67.090
Hashmanis Hospital,Karachi,"JM-75, Off M.A. Jinnah Road, Jacob Lines, Karachi",24.870,67.030
Burhani Hospital,Karachi,"Tayabjee Road, Gari Khata, Karachi",24.860,67.020
Mamji Hospital,Karachi,"C-19, Block-17, Federal B Area, Karachi",24.940,67.060
Chiniot General Hospital,Karachi,"ST-1/3, Sector 41-B, Korangi Township, Karachi",24.830,67.140
OMI Hospital,Karachi,"89/1 Depot Lines, M.A. Jinnah Road, Karachi",24.860,67.025
Saifee Hospital,Karachi,"St-1/A, Block-1, North Nazimabad, Karachi",24.940,67.040
Darul Sehat Hospital,Karachi,"ST-19, Block 15, Gulistan-e-Jauhar, Karachi",24.910,67.110
Ashfaq Memorial Hospital,Karachi,"SB-9, Block 13/C, Gulshan-e-Iqbal, Karachi",24.920,67.100
Altamash General Hospital,Karachi,"ST-9/A, Block 1, Clifton, Karachi",24.810,67.030
Bahria Town International Hospital,Karachi,"Precinct 19, Phase 1, Bahria Town, Karachi",24.900,67.250
Creek General Hospital,Karachi,"Ibrahim Hyderi, Korangi Creek, Karachi",24.800,67.120
Holy Family Hospital,Karachi,"Soldier Bazar, Karachi",24.870,67.020
Mayo Hospital,Lahore,"Hospital Road, Anarkali Bazaar, Lahore 54000",31.57114,74.31539
Services Hospital,Lahore,"Main Jail Road, Opposite Race Course Park, Lahore",31.541275,74.333054
Jinnah Hospital,Lahore,"Allama Iqbal Medical College, Ferozepur Road, Lahore",31.480,74.300
Lahore General Hospital,Lahore,"Ferozepur Road, Lahore",31.500,74.320
Shaukat Khanum Memorial Cancer Hospital,Lahore,"7-A Block R-3, M.A. Johar Town, Lahore",31.470,74.280
Doctors Hospital & Medical Centre,Lahore,"152-G/1, Canal Bank, Johar Town, Lahore 54590",31.470,74.290
Hameed Latif Hospital,Lahore,"14 Abu Bakar Block, New Garden Town, Lahore",31.500,74.340
Ittefaq Hospital,Lahore,"Near H Block, New Model Town, Lahore",31.490,74.320
Shalamar Hospital,Lahore,"Shalamar Link Road, Lahore",31.580,74.360
Ghurki Trust Teaching Hospital,Lahore,"GT Road-Burki Road Link, Lahore",31.550,74.400
Sir Ganga Ram Hospital,Lahore,"Queen's Road, Lahore",31.560,74.320
Children's Hospital & Institute of Child Health,Lahore,"Ferozepur Road, Lahore",31.490,74.310
Punjab Institute of Cardiology,Lahore,"Jail Road, Lahore",31.540,74.330
Fatima Memorial Hospital,Lahore,"Shadman Road, Lahore",31.540,74.330
Mid City Hospital,Lahore,"3-A Shadman, Jail Road, Lahore",31.540,74.335
Surgimed Hospital,Lahore,"1 Zafar Ali Road, Gulberg V, Lahore",31.520,74.350
Farooq Hospital (Allama Iqbal Town),Lahore,"2 Asif Block, Allama Iqbal Town, Lahore",31.460,74.290
National Hospital & Medical Centre,Lahore,"132/3 Block L, DHA Phase 1, Lahore",31.470,74.400
Bahria International Hospital,Lahore,"Bahria Town, Lahore",31.400,74.200
Omar Hospital & Cardiac Centre,Lahore,"Jail Road, Lahore",31.540,74.340
Evercare Hospital,Lahore,"Nespak Society, Lahore",31.480,74.280
Iqraa Medical Complex,Lahore,"5-A Johar Town, Lahore",31.460,74.280
Masood Hospital,Lahore,"99 Garden Block, Garden Town, Lahore",31.500,74.340
Family Hospital,Lahore,"4 Mozang Road, Lahore",31.550,74.320
Hijaz Hospital,Lahore,"37-G Gulberg III, Lahore",31.520,74.350
Pakistan Institute of Medical Sciences (PIMS),Islamabad,"G-8/3, Islamabad",33.70283,73.05329
Shifa International Hospital,Islamabad,"Pitras Bukhari Road, Sector H-8/4, Islamabad",33.67592,73.0668
